Id,Label
a1898,Eddie Jemison
a1900,Shaobo Qin
a1902,Dianne Wiest
a1903,Alan Arkin
a1904,Anthony Michael Hall
a1905,Vincent Price
a1906,Scott L. Schwartz
a1907,Kathy Baker
a1908,Robert Oliveri
a1909,Conchata Ferrell
a1910,Caroline Aaron
a1911,Dick Anthony Williams
a1912,O-Lan Jones
a1913,Susan Blommaert
a1914,Linda Perri
a1915,John Davidson
a1916,Biff Yeager
a1920,Winona Ryder
a1922,Catherine Zeta-Jones
a1923,Robbie Coltrane
a1924,Jeroen Krabbé
a1925,Vincent Cassel
a1926,Eddie Izzard
a1927,Blake Edwards
a1930,Truman Capote
a1932,Audrey Hepburn
a1933,George Peppard
a1934,Patricia Neal
a1935,Buddy Ebsen
a1936,Martin Balsam
a1937,Mickey Rooney
a1942,José Luis de Villalonga
a1943,John McGiver
a1944,Alan Reed
a1945,Dorothy Whitney
a1946,Beverly Powers
a1947,Stanley Adams
a1948,Claude Stroud
a1949,Elvia Allman
a1950,Orangey
a1951,Elisabeth Shue
a1952,Jeffrey Weissman
a1953,Casey Siemaszko
a1954,Billy Zane
a1955,Darlene Vogel
a1956,Cherry Jones
a1957,Sophie Marceau
a1958,Claude Brasseur
a1959,Brigitte Fossey
a1960,Alexandre Sterling
a1963,Danièle Thompson
a1969,Denise Grey
a1970,Sheila O'Connor
a1972,Dominique Lavanant
a1973,Bernard Giraudeau
a1974,Jean-Michel Dupuis
a1975,Jacques Ardouin
a1976,Evelyne Bellego
a1977,Richard Bohringer
a1979,Kevin Spacey
a1980,Mary McCormack
a1981,Alfre Woodard
a1982,Ajay Naidu
a1983,Vincent Laresca
a1984,Kimberly Scott
a1985,Saul Williams
a1986,Peter Gerety
a1987,Melanee Murray
